"45001762","105.0","g","3.7","ONZ",""
"45001767","44.0","g","0.5","cup",""
"45001768","43.0","g","0.5","cup",""
"45001769","43.0","g","0.5","cup",""
"45001770","54.0","g","2.0","PER BAG / 4 BAGS PER CONTAINER",""
"45001772","45.0","g","0.25","cup",""
"45001773","48.0","g","0.25","cup",""
"45001775","56.0","g","2.0","ONZ",""
"45001778","43.0","g","0.25","cup",""
"45001779","50.0","g","0.25","cup",""
"45001780","45.0","g","0.25","cup",""
"45001782","50.0","g","0.25","cup",""
"45001783","50.0","g","0.25","cup",""
"45001785","50.0","g","0.25","cup",""
"45001786","50.0","g","0.25","cup",""
"45001787","45.0","g","0.25","cup",""
"45001788","50.0","g","0.25","cup",""
"45001790","45.0","g","0.25","cup",""
"45001791","45.0","g","0.25","cup",""
"45001792","51.0","g","0.25","cup",""
"45001793","49.0","g","0.25","cup",""
"45001794","44.0","g","0.25","cup",""
"45001795","44.0","g","0.25","cup",""
"45001797","45.0","g","0.25","cup",""
"45001798","45.0","g","0.25","cup",""
"45001799","45.0","g","0.25","cup",""
"45001801","45.0","g","0.25","cup",""
"45001802","45.0","g","0.25","cup",""
"45001803","60.0","g","0.33","cup",""
"45001806","45.0","g","0.25","cup",""
"45001811","112.0","g","1.0","PIECE",""
"45001819","112.0","g","4.0","ONZ",""
"45001821","112.0","g","4.0","ONZ",""
"45001822","112.0","g","4.0","ONZ",""
"45001823","112.0","g","4.0","ONZ",""
"45001824","112.0","g","4.0","ONZ",""
"45001826","156.0","g","5.5","ONZ",""
"45001833","112.0","g","4.0","ONZ",""
"45001834","112.0","g","4.0","ONZ",""
"45001836","28.0","g","0.25","cup",""
"45001839","38.0","g","1.0","COOKIE",""
"45001840","30.0","g","2.0","COOKIES",""
"45001841","40.0","g","5.0","PIECES",""
"45001846","40.0","g","4.0","PIECES",""
"45001848","36.0","g","3.0","COOKIES",""
"45001849","28.0","g","2.0","COOKIES",""
"45001850","26.0","g","1.0","UNIT",""
"45001851","45.0","g","0.25","CUP DRY",""
"45001856","120.0","g","0.5","cup",""
"45001857","7.0","g","2.0","tsp",""
"45001859","48.0","g","3.0","SAUSAGES",""
"45001860","48.0","g","3.0","SAUSAGES",""
"45001861","28.0","g","1.0","ONZ",""
"45001862","14.0","g","1.0","Tbsp",""
"45001863","28.4","g","4.0","COOKIES",""
"45001864","64.0","g","2.0","SLICES",""
"45001866","50.0","g","2.0","MUFFINS",""
"45001869","55.0","g","55.0","GRM",""
"45001870","55.0","g","55.0","GRM",""
"45001871","39.0","g","4.0","PIECE",""
"45001889","0.9","g","0.25","tsp",""
"45001891","1.5","g","0.25","tsp",""
"45001892","1.5","g","0.25","tsp",""
"45001901","260.0","g","1.0","cup",""
"45001904","245.0","g","1.0","cup",""
"45001906","170.0","g","1.0","QUESADILLA",""
"45001908","45.0","g","0.25","cup",""
"45001910","55.0","g","0.75","cup",""
"45001913","124.0","g","0.5","cup",""
"45001914","56.0","g","0.5","cup",""
"45001917","28.0","g","14.0","CHIPS",""
"45001920","40.0","g","40.0","GRM",""
"45001921","39.0","g","39.0","GRM",""
"45001922","90.0","g","2.0","SLICES",""
"45001926","28.0","g","26.0","CRISPS",""
"45001928","85.0","g","3.0","cup",""
"45001929","85.0","g","3.0","cup",""
"45001931","14.0","g","1.0","Tbsp",""
"45001939","30.0","g","2.0","Tbsp",""
"45001945","37.0","g","0.25","cup",""
"45001946","23.0","g","0.25","cup",""
"45001947","27.0","g","0.25","cup",""
"45001949","34.0","g","0.25","cup",""
"45001950","28.0","g","2.0","Tbsp",""
"45001951","240.0","g","1.0","cup",""
"45001952","240.0","g","1.0","cup",""
"45001962","250.0","g","1.0","cup",""
"45001973","150.0","g","1.0","CONTAINER",""
"45001979","6.0","g","2.0","tsp",""
"45001980","7.0","g","2.0","Tbsp",""
"45001983","240.0","g","1.0","cup",""
"45001984","245.0","g","1.0","cup",""
"45001985","250.0","g","1.0","cup",""
"45001987","28.0","g","1.0","ONZ",""
"45001989","34.0","g","1.0","cup",""
"45001990","32.0","g","0.75","cup",""
"45001993","30.0","g","1.0","cup",""
"45001995","32.0","g","2.0","Tbsp",""
"45001996","32.0","g","2.0","Tbsp",""
"45001997","32.0","g","2.0","Tbsp",""
"45001998","32.0","g","2.0","Tbsp",""
"45002000","32.0","g","2.0","Tbsp",""
"45002009","125.0","g","0.5","cup",""
"45002011","55.0","g","0.5","cup",""
"45002012","20.0","g","1.0","Tbsp",""
"45002013","14.0","g","1.0","Tbsp",""
"45002014","55.0","g","1.0","cup",""
"45002018","14.0","g","1.0","Tbsp",""
"45002019","120.0","g","0.5","cup",""
"45002023","9.0","g","1.0","cup",""
"45002031","28.0","g","1.0","ONZ",""
